Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
01/12/2025,CHEV,LL,SUB,BLK,WH-2047A,WI,701 N. Sacramento,(773) 265-7605,7111621
12/12/2024,JEEP,LL,,SIL,CZ38663,IL,701 N. Sacramento,(773) 265-7605,7108288
01/02/2025,NISS,4D,SEN,SIL,ET37289,IL,10300 S. Doty,(773) 568-8495,2980449
01/12/2025,FORD,4D,,SIL,DM76809,IL,10300 S. Doty,(773) 568-8495,2981070
12/08/2024,BMW,4D,,GRY,,IL,701 N. Sacramento,(773) 265-7605,7107957
12/12/2024,VOLK,LL,,BLU,DGM842,MI,400 E. Lower Wacker,(312) 744-7550,0331999
01/16/2025,NISS,4D,,SIL,DQ75765,IL,701 N. Sacramento,(773) 265-7605,7111862
12/07/2024,CHEV,4D,,GRY,02873RF,MI,10300 S. Doty,(773) 568-8495,2978699
01/03/2025,NISS,LL,,SIL,DW27184,IL,10300 S. Doty,(773) 568-8495,2980508
12/12/2024,NISS,LL,,WHI,DD17520,IL,701 N. Sacramento,(773) 265-7605,7108355
12/10/2024,CHEV,4D,,GLD,797524,IL,10300 S. Doty,(773) 568-8495,2978961
01/04/2025,HOND,4D,,RED,EV40234,IL,701 N. Sacramento,(773) 265-7605,2980540
12/24/2024,DODG,4D,,BLU,EZ17640,IL,701 N. Sacramento,(773) 265-7605,7109863
12/19/2024,CHEV,4D,,BLU,CJ23284,IL,10300 S. Doty,(773) 568-8495,2979546
01/02/2025,VOLK,4D,,BLK,EV84825,IL,10300 S. Doty,(773) 568-8495,2980451
01/14/2025,FORD,PK,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7111754
12/22/2024,CHEV,2D,,WHI,DA65320,IL,10300 S. Doty,(773) 568-8495,2979711
12/12/2024,LEXS,LL,,TAN,,IL,701 N. Sacramento,(773) 265-7605,7108290
12/10/2024,NISS,2D,,RED,ES35661,IL,10300 S. Doty,(773) 568-8495,2978958
12/03/2024,SUBA,4D,,SIL,TLZ6320,TX,10300 S. Doty,(773) 568-8495,2978298
12/12/2024,BUIC,4D,,BLK,EB57996,IL,701 N. Sacramento,(773) 265-7605,7108289
01/16/2025,NISS,PK,TK,BLK,3227212B,IL,701 N. Sacramento,(773) 265-7605,7111861
12/10/2024,HYUN,4D,,WHI,,IL,10300 S. Doty,(773) 568-8495,2978957
12/18/2024,DODG,SW,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7109142
12/12/2024,FORD,LL,,BLK,DU60949,IL,701 N. Sacramento,(773) 265-7605,7108356
01/08/2025,AUDI,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2980788
12/24/2024,HOND,4D,,GRY,,MI,701 N. Sacramento,(773) 265-7605,7109829
12/04/2024,MAZD,4D,,BLU,EL12090,IL,10300 S. Doty,(773) 568-8495,2978457
12/04/2024,HOND,4D,,WHI,DH75010,IL,10300 S. Doty,(773) 568-8495,2978456
12/04/2024,TOYT,4D,,BLU,CWVO945,AZ,10300 S. Doty,(773) 568-8495,2978455
12/04/2024,NISS,4D,,SIL,6604166,IL,10300 S. Doty,(773) 568-8495,2978458
12/04/2024,FORD,PK,,BLK,3739703,IL,10300 S. Doty,(773) 568-8495,2978453
12/04/2024,MAZD,4D,,GRY,DR77921,IL,10300 S. Doty,(773) 568-8495,2978454
01/08/2025,LNDR,LL,,SIL,,IL,10300 S. Doty,(773) 568-8495,2980787
12/04/2024,DODG,VN,,BLK,3590929B,IL,10300 S. Doty,(773) 568-8495,2978449
12/18/2024,FORD,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2979422
01/10/2025,BUIC,2D,,WHI,EK90591,IL,10300 S. Doty,(773) 568-8495,2980899
01/03/2025,TOYT,4D,,WHI,BZ32JR,FL,701 N. Sacramento,(773) 265-7605,7110636
12/19/2024,CHEV,4D,,SIL,006902A8,IL,701 N. Sacramento,(773) 265-7605,7109262
01/12/2025,CADI,LL,,BLK,R546102,IL,10300 S. Doty,(773) 568-8495,2981072
01/12/2025,CHEV,4D,,BLK,DZ93897,IL,10300 S. Doty,(773) 568-8495,2981073
01/04/2025,HYUN,4T,,GRY,CU64011,IL,10300 S. Doty,(773) 568-8495,2980543
12/07/2024,CHEV,4D,,SIL,EV38671,IL,701 N. Sacramento,(773) 265-7605,7107614
01/16/2025,TOYT,4D,,WHI,ET97034,IL,10300 S. Doty,(773) 568-8495,2981251
12/19/2024,CHEV,4D,,SIL,DV12282,IL,701 N. Sacramento,(773) 265-7605,7109265
01/12/2025,CHEV,4D,,SIL,CX57048,IL,701 N. Sacramento,(773) 265-7605,7111619
01/12/2025,HYUN,LL,,SIL,DV13437,IL,10300 S. Doty,(773) 568-8495,2981071
12/03/2024,VOLK,LL,,GRY,FP274473,IL,10300 S. Doty,(773) 568-8495,2978382
11/30/2024,GMC,VN,,WHI,20299WS,IL,10300 S. Doty,(773) 568-8495,2978116
11/30/2024,NISS,4D,,RED,,IL,10300 S. Doty,(773) 568-8495,2978118
11/27/2024,JEEP,LL,,SIL,,,10300 S. Doty,(773) 568-8495,2978021
12/07/2024,FORD,LL,,BLK,CR39875,IL,701 N. Sacramento,(773) 265-7605,7107622
11/24/2024,HOND,4D,,TAN,ER16581,IL,10300 S. Doty,(773) 568-8495,2977850
12/05/2024,JEEP,LL,,BLK,BR76509,IL,10300 S. Doty,(773) 568-8495,2978534
11/27/2024,BUIC,LL,,CRM,,IL,701 N. Sacramento,(773) 265-7605,7106509
11/25/2024,JEEP,LL,,WHI,EH34456,IL,10300 S. Doty,(773) 568-8495,2977899
12/12/2024,TOYT,LL,,MAR,EK77707,IL,701 N. Sacramento,(773) 265-7605,7108351
12/12/2024,CHEV,LL,,GRY,ER77172,IL,400 E. Lower Wacker,(312) 744-7550,0332006
01/02/2025,CHEV,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2980456
01/02/2025,CHEV,4D,,BLK,ET86634,IL,10300 S. Doty,(773) 568-8495,2980458
12/04/2024,JEEP,LL,,WHI,FP227789,IL,10300 S. Doty,(773) 568-8495,2978464
01/04/2025,BMW,4D,,WHI,D430947,IL,10300 S. Doty,(773) 568-8495,2980550
01/03/2025,AUDI,4T,,BLU,DG90056,IL,701 N. Sacramento,(773) 265-7605,7110637
01/04/2025,GMC,LL,,WHI,LON878,KY,400 E. Lower Wacker,(312) 744-7550,0333532
01/08/2025,FORD,PK,TK,BLK,,,701 N. Sacramento,(773) 265-7605,7111151
12/22/2024,GMC,LL,,GRY,EL16782,IL,701 N. Sacramento,(773) 265-7605,7109618
11/24/2024,DODG,4D,,BLU,EJ96140,IL,10300 S. Doty,(773) 568-8495,2977846
12/03/2024,BMW,LL,,GRY,EX95880,IL,10300 S. Doty,(773) 568-8495,2978322
01/16/2025,HOND,4D,,GRY,EY60696,IL,701 N. Sacramento,(773) 265-7605,7111865
12/12/2024,HYUN,4D,,TAN,GD9020,IL,10300 S. Doty,(773) 568-8495,2979024
12/05/2024,HOND,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7107414
01/02/2025,JEEP,LL,,BLK,AG46731,IL,10300 S. Doty,(773) 568-8495,2980459
12/03/2024,GMC,LL,,BLK,EG37783,IL,10300 S. Doty,(773) 568-8495,2978314
12/22/2024,AUDI,LL,,BLK,BG57895,IL,701 N. Sacramento,(773) 265-7605,7109686
12/22/2024,TOYT,4D,,WHI,DQ88156,IL,701 N. Sacramento,(773) 265-7605,7109687
11/28/2024,NISS,4D,,BLU,EJ48128,IL,701 N. Sacramento,(773) 265-7605,7106546
01/16/2025,CHEV,PK,TK,RED,,IL,10300 S. Doty,(773) 568-8495,2981257
12/22/2024,SUBA,SW,,SIL,DY24912,IL,701 N. Sacramento,(773) 265-7605,7109685
01/12/2025,FORD,4D,,WHI,3HS684,OK,10300 S. Doty,(773) 568-8495,2981077
12/04/2024,FORD,VN,,GRN,3326779,IL,10300 S. Doty,(773) 568-8495,2978462
12/07/2024,MERZ,LL,,BLK,2661472,IL,10300 S. Doty,(773) 568-8495,2978701
11/25/2024,KIA,4D,,SIL,EC76776,IL,10300 S. Doty,(773) 568-8495,2977893
11/25/2024,MITS,LL,,WHI,DB69058,IL,10300 S. Doty,(773) 568-8495,2977898
12/22/2024,HOND,LL,,SIL,BN33234,IL,701 N. Sacramento,(773) 265-7605,7109689
12/22/2024,CHEV,4D,,GRY,,IL,701 N. Sacramento,(773) 265-7605,7109623
12/03/2024,CHEV,4D,,WHI,CB15348,IL,10300 S. Doty,(773) 568-8495,2978383
12/03/2024,LINC,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7107142
01/02/2025,ACUR,4T,,GRY,,IL,10300 S. Doty,(773) 568-8495,2980457
12/09/2024,NISS,4D,,GRY,S852033,IN,701 N. Sacramento,(773) 265-7605,7107982
01/12/2025,HYUN,4D,,GRN,,,701 N. Sacramento,(773) 265-7605,7111623
01/12/2025,HYUN,LL,,GRY,BW86829,IL,701 N. Sacramento,(773) 265-7605,7111624
01/12/2025,CHEV,4D,,WHI,3063045B,IL,10300 S. Doty,(773) 568-8495,2981078
11/27/2024,OLDS,LL,,TAN,,,10300 S. Doty,(773) 568-8495,2978026
12/19/2024,JEEP,LL,,GRY,5833BH,IL,10300 S. Doty,(773) 568-8495,2979547
12/19/2024,AUDI,4D,,WHI,EB99139,IL,701 N. Sacramento,(773) 265-7605,7109268
11/27/2024,CHEV,4D,,SIL,,,10300 S. Doty,(773) 568-8495,2978029
12/19/2024,FORD,VN,,BLU,EG62246,IL,10300 S. Doty,(773) 568-8495,2979551
11/27/2024,NISS,4D,,GLD,,,10300 S. Doty,(773) 568-8495,2978028
12/19/2024,CHEV,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2979548
12/22/2024,TOYT,4D,,BLK,DX84184,IL,701 N. Sacramento,(773) 265-7605,7109714
12/04/2024,NISS,LL,,SIL,EK68806,IL,10300 S. Doty,(773) 568-8495,2978448
12/16/2024,,,,,,IL,10300 S. Doty,(773) 785-9752,17
12/19/2024,PONT,4D,,RED,985AB707,IL,10300 S. Doty,(773) 568-8495,2979549
12/05/2024,HOND,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2978494
01/06/2025,LAND,LL,,BLK,,,701 N. Sacramento,(773) 265-7605,7111054
01/04/2025,KIA,4D,,GRY,DB64112,IL,10300 S. Doty,(773) 568-8495,2980552
12/22/2024,CHEV,4D,,SIL,EM73251,IL,701 N. Sacramento,(773) 265-7605,7109710
12/04/2024,FORD,LL,,WHI,AJ43274,IL,10300 S. Doty,(773) 568-8495,2978447
01/08/2025,MAZD,4D,,BLK,ER91092,IL,10300 S. Doty,(773) 568-8495,2980792
12/05/2024,,OB,,RED,,,10300 S. Doty,(773) 785-9752,1727407
11/30/2024,CHEV,4D,MAL,GRY,011465A2,IL,10300 S. Doty,(773) 568-8495,2978120
01/18/2025,CHEV,LL,,TAN,,IL,10300 S. Doty,(773) 568-8495,2981391
01/03/2025,FORD,LL,,WHI,R839223,IL,701 N. Sacramento,(773) 265-7605,7110638
01/08/2025,CHEV,4D,,BLK,CR38325,IL,10300 S. Doty,(773) 568-8495,2980790
12/22/2024,NISS,4D,,BLK,TDC650,IN,701 N. Sacramento,(773) 265-7605,7109712
01/03/2025,VOLV,4D,,BLK,N860053,IL,701 N. Sacramento,(773) 265-7605,7110639
12/22/2024,HOND,4D,,BLU,K630748,IL,701 N. Sacramento,(773) 265-7605,7109706
12/18/2024,INFI,4D,,SIL,EC57960,IL,10300 S. Doty,(773) 568-8495,2979426
12/18/2024,MERC,4D,,WHI,FNF898,IA,10300 S. Doty,(773) 568-8495,2979425
01/10/2025,FORD,LL,,BLK,DY45050,IL,10300 S. Doty,(773) 568-8495,2980902
12/18/2024,NISS,4D,,GRY,CK54850,IL,701 N. Sacramento,(773) 265-1846,1548620
12/18/2024,LINC,4D,,SIL,ABN316,KY,701 N. Sacramento,(773) 265-1846,1548621
12/22/2024,HOND,4D,,BLK,DT54014,IL,701 N. Sacramento,(773) 265-7605,7109716
12/03/2024,VOLK,4D,,BLK,EB30212,IL,701 N. Sacramento,(773) 265-7605,7107021
01/03/2025,PONT,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7110553
12/22/2024,FORD,PK,,BLU,2843804B,IL,701 N. Sacramento,(773) 265-7605,7109699
12/08/2024,TOYT,4D,,WHI,DQ21722,IL,10300 S. Doty,(773) 568-8495,2978837
12/09/2024,FORD,LL,,GRY,DU74215,IL,701 N. Sacramento,(773) 265-7605,7108048
12/22/2024,SUBA,SW,,GRY,EU64950,IL,701 N. Sacramento,(773) 265-7605,7109711
12/12/2024,HYUN,4D,,WHI,EA23649,IL,701 N. Sacramento,(773) 265-7605,7108291
01/13/2025,BUIC,4T,,BLK,DH45005,IL,701 N. Sacramento,(773) 265-7605,7111629
12/09/2024,JEEP,LL,,GRY,,IL,10300 S. Doty,(773) 568-8495,2978854
12/22/2024,FORD,PK,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7109709
12/03/2024,VOLK,4D,PAS,BLU,ET12470,IL,701 N. Sacramento,(773) 265-7605,7107075
11/24/2024,FORD,VN,,WHI,38456R0B,IL,701 N. Sacramento,(773) 265-7605,7106370
12/09/2024,BMW,4D,,SIL,EN53124,IL,701 N. Sacramento,(773) 265-7605,7107987
12/22/2024,KIA,4D,,BLU,EK59645,IL,701 N. Sacramento,(773) 265-7605,7109691
12/22/2024,TOYT,4D,,GRN,EQ19607,IL,701 N. Sacramento,(773) 265-7605,7109697
01/03/2025,CADI,4D,,WHI,EY65017,IL,701 N. Sacramento,(773) 265-7605,7110510
01/04/2025,FORD,4T,,GRY,EX92108,IL,701 N. Sacramento,(773) 265-7605,7110644
12/12/2024,FORD,PK,,WHI,3869087B,IL,10300 S. Doty,(773) 568-8495,2979028
12/22/2024,FORD,LL,,BLU,EU54686,IL,701 N. Sacramento,(773) 265-7605,7109705
12/05/2024,CHEV,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7107417
01/18/2025,GMC,VN,,TAN,,,10300 S. Doty,(773) 568-8495,2981394
01/04/2025,TOYT,LL,,GRY,AVB4463,WI,701 N. Sacramento,(773) 265-7605,7110656
12/15/2024,NISS,LL,,GRY,EY61625,IL,10300 S. Doty,(773) 568-8495,2979217
01/04/2025,HOND,2T,,WHI,AD84248,IL,701 N. Sacramento,(773) 265-7605,7110649
12/22/2024,HYUN,4D,,BLK,AC8575,IL,701 N. Sacramento,(773) 265-7605,7109707
12/09/2024,BUIC,LL,,WHI,Z213301,IL,10300 S. Doty,(773) 568-8495,2978855
01/04/2025,CHRY,4T,,WHI,EJ25033,IL,701 N. Sacramento,(773) 265-7605,7110642
12/03/2024,MASE,4D,,BLK,ET90859,IL,10300 S. Doty,(773) 568-8495,2978283
01/08/2025,CHEV,4D,,GRY,ER55296,IL,10300 S. Doty,(773) 568-8495,2980794
01/04/2025,CHEV,4T,,GRY,DD53607,IL,701 N. Sacramento,(773) 265-7605,7110657
01/04/2025,TOYT,LL,,BLU,AV17234,IL,701 N. Sacramento,(773) 265-7605,7110645
01/04/2025,MERC,4T,,WHI,EA13355,IL,701 N. Sacramento,(773) 265-7605,7110646
12/12/2024,BUIC,LL,,WHI,EQ88319,IL,701 N. Sacramento,(773) 265-7605,7108297
12/12/2024,BMW,4D,,GRY,ET77041,IL,701 N. Sacramento,(773) 265-7605,7108298
01/06/2025,FORD,LL,,RED,DX78956,IL,10300 S. Doty,(773) 785-9752,1727521
01/08/2025,DODG,CP,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7111155
12/11/2024,INFI,LL,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7108077
12/20/2024,JEEP,LL,,BLK,DM32137,IL,10300 S. Doty,(773) 568-8495,2979563
12/03/2024,LINC,LL,,WHI,DP85098,IL,10300 S. Doty,(773) 568-8495,2978358
12/22/2024,HOND,4D,,GRY,CV48479,IL,701 N. Sacramento,(773) 265-7605,7109704
12/25/2024,MAZD,LL,,GRY,232,IL,400 E. Lower Wacker,(312) 744-7550,32
12/31/2024,FORD,4D,,WHI,ET90869,IL,701 N. Sacramento,(773) 265-7605,7110444
11/26/2024,JEEP,LL,,BLU,103AC732,IL,10300 S. Doty,(773) 568-8495,2977942
12/12/2024,MERZ,4D,,BLK,DA96440,IL,701 N. Sacramento,(773) 265-7605,7108295
01/08/2025,FORD,LL,TK,BLK,7439GI,IL,701 N. Sacramento,(773) 265-7605,7111156
12/31/2024,NISS,4D,,BLK,FA73140,IL,10300 S. Doty,(773) 568-8495,2980353
01/03/2025,FORD,4D,,GRY,EL39538,IL,10300 S. Doty,(773) 568-8495,2980466
12/22/2024,TOYT,4D,,WHI,CB82144,IL,701 N. Sacramento,(773) 265-7605,7109703
01/04/2025,VOLK,4T,,BLU,EF74125,IL,701 N. Sacramento,(773) 265-7605,7110653
12/22/2024,KIA,SW,,GRY,20987AFT,WI,701 N. Sacramento,(773) 265-7605,7109717
01/06/2025,HYUN,4D,,MAR,AFW8561,WI,400 E. Lower Wacker,(312) 744-7550,0333705
01/13/2025,TOYT,LL,,BLK,EV95807,IL,10300 S. Doty,(773) 568-8495,2981090
01/04/2025,TOYT,LL,,BLK,Z66LZY,NJ,701 N. Sacramento,(773) 265-7605,7110662
01/04/2025,TESI,LL,,GRY,295AC044,IL,701 N. Sacramento,(773) 265-7605,7110658
01/05/2025,,MC,,BLK,,,10300 S. Doty,(773) 568-8495,2980590
11/28/2024,,4D,,GRY,CU71583,IL,400 E. Lower Wacker,(312) 744-7550,0331094
12/11/2024,TOYT,4T,,WHI,DC52542,IL,701 N. Sacramento,(773) 265-7605,7108166
11/30/2024,LEXS,2D,,PLE,MAVRKBH,IL,701 N. Sacramento,(773) 265-7605,7106691
11/28/2024,FORD,4D,,WHI,EP27430,IL,701 N. Sacramento,(773) 265-7605,7106520
11/28/2024,MAZD,4D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7106518
01/03/2025,TOYT,4D,,RED,,IL,10300 S. Doty,(773) 568-8495,2980465
12/03/2024,NISS,4D,,BRZ,DB91443,IL,701 N. Sacramento,(773) 265-7605,7107026
01/13/2025,FORD,4T,,MAR,EL54729,IL,701 N. Sacramento,(773) 265-7605,7111630
12/05/2024,INFI,4D,,SIL,ER32139,IL,701 N. Sacramento,(773) 265-7605,7107415
01/03/2025,LEXS,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2980468
01/13/2025,FORD,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7111635
01/03/2025,FORD,VN,,WHI,CR64694,IL,10300 S. Doty,(773) 568-8495,2980467
12/08/2024,MAZD,4D,,BLK,EV28321,IL,701 N. Sacramento,(773) 265-7605,7107851
01/14/2025,NISS,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2981175
12/22/2024,MAZD,4D,,BLK,BZ92129,IL,701 N. Sacramento,(773) 265-7605,7109723
01/04/2025,NISS,LL,,WHI,BM58449,IL,701 N. Sacramento,(773) 265-7605,7110659
01/10/2025,CHRY,VN,,GRY,,IL,10300 S. Doty,(773) 568-8495,2980924
12/20/2024,BUIC,4D,,LGR,,IL,10300 S. Doty,(773) 568-8495,2979561
12/12/2024,CHEV,LL,,BLK,DN31863,IL,701 N. Sacramento,(773) 265-7605,7108300
01/03/2025,AUDI,2D,,BLU,EY16772,IL,701 N. Sacramento,(773) 265-7605,7110572
12/20/2024,HYUN,4D,,GRY,DR48591,IL,10300 S. Doty,(773) 568-8495,2979560
12/20/2024,FORD,LL,,TAN,CZ18487,IL,10300 S. Doty,(773) 568-8495,2979565
01/05/2025,FORD,4D,,RED,DZ33815,IL,10300 S. Doty,(773) 568-8495,2980642
12/22/2024,HOND,LL,,GRY,Q271691,IL,701 N. Sacramento,(773) 265-7605,7109673
12/22/2024,TOYT,4D,,GRY,EV35668,IL,701 N. Sacramento,(773) 265-7605,7109726
12/03/2024,HOND,4D,,BLK,ED18094,IL,10300 S. Doty,(773) 568-8495,2978357
12/11/2024,TOYT,4T,,SIL,CS91197,IL,701 N. Sacramento,(773) 265-7605,7108158
12/22/2024,CHRY,4D,,BLK,BN52262,IL,701 N. Sacramento,(773) 265-7605,7109722
12/11/2024,VOLK,4T,,RED,CY79767,IL,701 N. Sacramento,(773) 265-7605,7108164
12/12/2024,VOLK,4D,,RED,EY19693,IL,701 N. Sacramento,(773) 265-7605,7108302
12/12/2024,JEEP,LL,,RED,EA30192,IL,10300 S. Doty,(773) 568-8495,2979031
12/11/2024,NISS,4D,,WHI,ER55518,IL,10300 S. Doty,(773) 568-8495,2978964
12/11/2024,BUIC,LL,TK,WHI,EG65123,IL,10300 S. Doty,(773) 568-8495,2978965
12/22/2024,JEEP,LL,,RED,EU16954,IL,701 N. Sacramento,(773) 265-7605,7109720
12/11/2024,JEEP,LL,TK,WHI,EV20070,IL,701 N. Sacramento,(773) 265-7605,7108170
12/22/2024,DODG,LL,,WHI,DK23978,IL,10300 S. Doty,(773) 568-8495,2979713
01/16/2025,HOND,VN,,GRY,EA21297,IL,400 E. Lower Wacker,(312) 744-7550,0334269
12/20/2024,LINC,LL,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7109270
12/07/2024,CHEV,4D,,RED,Q630787,IL,701 N. Sacramento,(773) 265-7605,7107696
12/12/2024,NISS,4D,,BLU,S290482,IN,400 E. Lower Wacker,(312) 744-7550,0332014
12/03/2024,GMC,PK,,GRN,999AB979,IL,701 N. Sacramento,(773) 265-1846,1548569
11/24/2024,NISS,4D,,MAR,,IL,10300 S. Doty,(773) 568-8495,2977864
12/11/2024,SATR,LL,,GLD,011445A8,IL,701 N. Sacramento,(773) 265-7605,7108160
12/03/2024,NISS,4D,,WHI,EQ35760,IL,10300 S. Doty,(773) 568-8495,2978376
01/10/2025,DODG,2D,,BLU,EU30886,IL,10300 S. Doty,(773) 568-8495,2980926
12/12/2024,HOND,LL,,GRY,EG45660,IL,701 N. Sacramento,(773) 265-7605,7108303
12/03/2024,KIA,4D,,WHI,EQ18644,IL,10300 S. Doty,(773) 568-8495,2978315
12/11/2024,INFI,4D,,SIL,SAB731,IL,10300 S. Doty,(773) 568-8495,2978962
01/04/2025,HOND,4T,,TAN,AM73000,IL,701 N. Sacramento,(773) 265-7605,7110650
12/22/2024,HYUN,4D,,ONG,EZ73252,IL,701 N. Sacramento,(773) 265-7605,7109724
01/03/2025,CADI,4D,,GRY,1E323FF,IL,701 N. Sacramento,(773) 265-7605,7110655
12/22/2024,CHEV,4D,,GRY,DBF401,IN,701 N. Sacramento,(773) 265-7605,7109718
12/22/2024,JEEP,LL,,WHI,ED82486,IL,701 N. Sacramento,(773) 265-7605,7109719
12/22/2024,CHEV,4D,,GRN,EW73287,IL,701 N. Sacramento,(773) 265-7605,7109721
12/29/2024,MAZD,LL,,RED,DE28508,IL,10300 S. Doty,(773) 568-8495,2980160
01/04/2025,TOYT,4T,,BLK,CF74159,IL,701 N. Sacramento,(773) 265-7605,7110647
01/04/2025,HYUN,4T,,WHI,066PAZ,OR,701 N. Sacramento,(773) 265-7605,7110664
12/12/2024,LNDR,LL,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7108359
12/25/2024,MAZD,LL,,WHI,4942BU,IL,400 E. Lower Wacker,(312) 744-7550,0332865
01/10/2025,NISS,4D,,BLU,NVL274,OK,400 E. Lower Wacker,(312) 744-7550,0333935
01/10/2025,FORD,2D,,RED,EP75810,IL,10300 S. Doty,(773) 568-8495,2980925
01/10/2025,JEEP,LL,,WHI,X8612F,WI,701 N. Sacramento,(773) 265-1846,1548705
12/08/2024,BUIC,LL,,BLK,8566P98,TX,10300 S. Doty,(773) 568-8495,2978826
01/10/2025,CHEV,4D,,BLU,KBN3845,OH,701 N. Sacramento,(773) 265-7605,7111239
12/20/2024,HOND,4D,,DBL,EQ18425,IL,10300 S. Doty,(773) 568-8495,2979567
01/10/2025,JEEP,LL,,DBL,EG32241,IL,701 N. Sacramento,(773) 265-1846,1548704
11/24/2024,JEEP,LL,,RED,,IL,10300 S. Doty,(773) 568-8495,2977862
01/03/2025,JEEP,LL,TK,RED,ES33859,IL,10300 S. Doty,(773) 568-8495,2980514
12/02/2024,GMC,LL,,WHI,,IL,701 N. Sacramento,(773) 265-7605,710682
11/26/2024,HOND,4D,,WHI,,IL,10300 S. Doty,(773) 568-8495,2977945
01/04/2025,VOLK,4T,,WHI,DN42280,IL,701 N. Sacramento,(773) 265-7605,7110660
01/13/2025,HOND,4D,,RED,,IL,701 N. Sacramento,(773) 265-7605,7111637
12/07/2024,HOND,4D,,SIL,EQ59957,IL,701 N. Sacramento,(773) 265-7605,7107627
12/01/2024,NISS,4T,,RED,EE91680,IL,701 N. Sacramento,(773) 265-7605,7106710
01/13/2025,TOYT,4T,,RED,FP257042,IL,10300 S. Doty,(773) 568-8495,2981106
01/13/2025,TOYT,4D,,WHI,ED30330,IL,10300 S. Doty,(773) 568-8495,2981094
11/28/2024,DODG,LL,,GRY,EM42878,IL,701 N. Sacramento,(773) 265-7605,7106560
12/25/2024,FORD,4D,,WHI,FB73275,IL,701 N. Sacramento,(773) 265-7605,7109868
